Date,IRBR3.SA,SULA11.SA,BBSE3.SA,ITUB3.SA,SANB11.SA,CXSE3.SA,MODL11.SA,GETT11.SA,BBDC3.SA,ITSA4.SA,BBAS3.SA,PSSA3.SA,BPAC11.SA,CIEL3.SA,BRBI11.SA,CARD3.SA,WIZS3.SA,CLSA3.SA,B3SA3.SA,BPAN4.SA,BRSR6.SA,ABCB4.SA,BBDC4.SA,BMGB4.SA,ITUB4.SA,BIDI11.SA,BOAS3.SA
2020-12-08,7.53000020980835,39.90275955200195,26.447614669799805,25.681211471557617,39.10402297973633,,,,17.512441635131836,9.935188293457031,33.29935073852539,21.52464485168457,19.7274169921875,3.476231575012207,,14.666496276855469,8.607069969177246,,18.116519927978516,9.62139892578125,12.349634170532227,13.73673152923584,19.801576614379883,4.528428077697754,29.174955368041992,25.683332443237305,12.533478736877441
2020-12-09,7.260000228881836,39.465084075927734,26.382997512817383,25.949115753173828,38.643333435058594,,,,17.474000930786133,9.98836612701416,32.84270095825195,21.215999603271484,19.21833610534668,3.3934643268585205,,14.637182235717773,8.365141868591309,,17.658308029174805,9.602232933044434,12.224346160888672,13.315189361572266,19.8555908203125,4.537238597869873,29.34792137145996,26.503332138061523,12.444588661193848
2020-12-10,7.380000114440918,41.39270782470703,27.204580307006836,26.70501136779785,39.754398345947266,,,,18.235076904296875,10.192211151123047,34.55059051513672,21.725934982299805,19.321109771728516,3.531409740447998,,14.344048500061035,8.52332592010498,,18.144575119018555,9.68847942352295,12.689696311950684,13.480140686035156,20.673582077026367,4.590099811553955,30.31850242614746,26.863332748413086,12.444588661193848
2020-12-11,7.28000020980835,41.94213104248047,27.647682189941406,26.5457763671875,40.269283294677734,,,,18.212018966674805,10.207179069519043,35.153377532958984,22.213504791259766,19.524261474609375,3.5681955814361572,,14.5687837600708,8.616374969482422,,18.34095001220703,9.5830659866333,12.638039588928223,13.663418769836426,20.511531829833984,4.616529941558838,30.139354705810547,27.986665725708008,12.444588661193848
2020-12-14,7.349999904632568,41.76519775390625,27.555368423461914,26.123804092407227,40.07958221435547,,,,18.250450134277344,10.0908842086792,35.26970672607422,21.940645217895508,20.358388900756836,3.4670352935791016,,14.461301803588867,8.504715919494629,,18.166393280029297,9.535149574279785,12.61099624633789,13.489304542541504,20.40349006652832,4.660580635070801,29.734926223754883,29.03333282470703,12.59273910522461
2020-12-15,7.25,41.49514389038086,27.62921905517578,26.30601692199707,40.6577033996582,,,,18.350391387939453,10.287692070007324,35.718597412109375,22.39242935180664,21.144712448120117,3.4670352935791016,,14.412446975708008,8.616374969482422,,18.353416442871094,9.698063850402832,12.547895431518555,13.480140686035156,20.40349006652832,4.810353755950928,30.004547119140625,30.766666412353516,12.740888595581055
2020-12-16,7.46999979019165,42.044559478759766,27.93385124206543,26.938974380493164,40.368648529052734,,,,18.78090476989746,10.430826187133789,36.04838180541992,22.253765106201172,21.739831924438477,3.494624376296997,,14.51015853881836,8.52332592010498,,18.873971939086914,9.650148391723633,12.57493782043457,13.562616348266602,20.866504669189453,4.836784362792969,30.57267189025879,30.503332138061523,12.948298454284668
2020-12-17,7.340000152587891,41.66276550292969,27.93385124206543,26.938974380493164,39.962162017822266,,,,19.019214630126953,10.439770698547363,36.085025787353516,22.213504791259766,21.976444244384766,3.5406060218811035,,14.51015853881836,8.076688766479492,,18.842802047729492,9.592649459838867,12.520853042602539,13.608434677124023,20.966825485229492,4.783923149108887,30.53415298461914,32.266666412353516,13.165584564208984
2020-12-18,7.389999866485596,41.18783950805664,27.324586868286133,26.891023635864258,39.953125,,,,18.873153686523438,10.3413667678833,35.819366455078125,22.052473068237305,21.541458129882812,3.4486427307128906,,14.793522834777832,8.160433769226074,,18.640188217163086,9.535149574279785,12.538881301879883,14.259075164794922,21.005413055419922,5.1363301277160645,30.48600959777832,32.38666534423828,13.08657169342041
2020-12-21,7.150000095367432,40.70360565185547,26.74301528930664,26.286840438842773,39.4834098815918,,,,18.411890029907227,10.180341720581055,34.61927795410156,21.511226654052734,21.68008041381836,3.3015003204345703,,14.3635892868042,7.974333763122559,,18.390819549560547,9.515984535217285,12.205351829528809,13.956664085388184,20.496095657348633,4.9865570068359375,29.94676971435547,32.643333435058594,12.59273910522461
