Date,ORVR3.SA,EGIE3.SA,SBSP3.SA,AESB3.SA,AMBP3.SA,CPLE3.SA,AURE3.SA,CMIG3.SA,ENBR3.SA,EQTL3.SA,SAPR11.SA,LIGT3.SA,TRPL4.SA,CMIG4.SA,ELET3.SA,ELET6.SA,CSMG3.SA,CPLE6.SA,MEGA3.SA,ENGI11.SA,TAEE11.SA,ENEV3.SA,NEOE3.SA,ALUP11.SA,CPFE3.SA
2021-11-11,27.59000015258789,39.41649627685547,36.93000030517578,11.779999732971191,43.099998474121094,5.500958442687988,,13.048574447631836,20.392486572265625,24.760000228881836,19.24213981628418,12.4399995803833,22.936840057373047,10.160697937011719,35.91999816894531,35.380001068115234,13.329999923706055,6.195098400115967,,42.77000045776367,35.3966064453125,15.520000457763672,16.496543884277344,24.799999237060547,27.320690155029297
2021-11-12,27.489999771118164,38.86823272705078,36.04999923706055,11.550000190734863,43.349998474121094,5.628887176513672,,13.055959701538086,20.248199462890625,24.260000228881836,18.786531448364258,11.720000267028809,22.926910400390625,10.138847351074219,35.619998931884766,35.0,13.399999618530273,6.136096954345703,,43.709999084472656,35.1277961730957,15.359999656677246,16.486629486083984,24.43000030517578,26.54121208190918
2021-11-16,26.969999313354492,38.53535079956055,35.290000915527344,11.300000190734863,45.099998474121094,5.500958442687988,,12.923036575317383,19.998104095458984,24.010000228881836,18.398780822753906,11.600000381469727,22.60917091369629,9.978606224060059,34.54999923706055,34.04999923706055,13.029999732971191,6.077095985412598,,43.33000183105469,34.40776824951172,15.050000190734863,16.694820404052734,24.1299991607666,25.47917366027832
2021-11-17,26.579999923706055,38.290592193603516,34.70000076293945,11.210000038146973,43.599998474121094,5.481276988983154,,12.738420486450195,19.74800682067871,23.579999923706055,18.175823211669922,11.109999656677246,22.430442810058594,9.774663925170898,32.2599983215332,31.799999237060547,12.779999732971191,5.988595008850098,,42.0099983215332,33.99495315551758,15.010000228881836,16.39740753173828,23.989999771118164,24.514570236206055
2021-11-18,26.790000915527344,38.417869567871094,34.43000030517578,11.170000076293945,43.93000030517578,5.43207311630249,,12.923036575317383,19.815340042114258,23.530000686645508,18.107967376708984,11.1899995803833,22.41058349609375,9.80379867553711,32.529998779296875,32.0,12.829999923706055,5.988595008850098,,42.34000015258789,34.100555419921875,15.220000267028809,16.516372680664062,24.040000915527344,24.573030471801758
2021-11-19,26.770000457763672,38.91718292236328,34.970001220703125,11.270000457763672,46.0,5.491117477416992,,12.996881484985352,20.123151779174805,23.459999084472656,18.204906463623047,11.109999656677246,22.400653839111328,9.913052558898926,33.040000915527344,32.529998779296875,13.069999694824219,6.106596946716309,,42.9900016784668,34.100555419921875,15.5,16.58576774597168,24.350000381469727,25.089435577392578
2021-11-22,26.940000534057617,38.40807342529297,34.2400016784668,11.09000015258789,44.790000915527344,5.422232627868652,,12.93780517578125,19.95000648498535,22.969999313354492,17.894702911376953,10.979999542236328,22.291431427001953,9.781947135925293,32.06999969482422,31.719999313354492,12.770000457763672,6.0082621574401855,,42.86000061035156,34.00455093383789,15.029999732971191,16.2784423828125,24.1200008392334,24.806873321533203
2021-11-23,26.450000762939453,38.42765808105469,34.40999984741211,11.210000038146973,44.70000076293945,5.46159553527832,,13.055959701538086,20.1135311126709,23.450000762939453,18.040111541748047,11.529999732971191,22.46023178100586,9.942188262939453,32.900001525878906,32.5099983215332,13.069999694824219,6.116429805755615,,43.70000076293945,33.937347412109375,15.010000228881836,16.546113967895508,24.15999984741211,24.914052963256836
2021-11-24,25.43000030517578,38.290592193603516,34.220001220703125,11.329999923706055,45.810001373291016,5.43207311630249,,12.9451904296875,20.315534591674805,23.219999313354492,18.059497833251953,11.84000015258789,22.648887634277344,9.818366050720215,32.79999923706055,32.29999923706055,12.859999656677246,6.0082621574401855,,44.369998931884766,34.32136535644531,14.890000343322754,16.774131774902344,24.389999389648438,24.962770462036133
2021-11-25,25.149999618530273,38.515769958496094,34.95000076293945,11.550000190734863,46.88999938964844,5.56000280380249,,13.08549690246582,20.498294830322266,23.149999618530273,18.486024856567383,12.6899995803833,22.768041610717773,9.942188262939453,33.61000061035156,33.04999923706055,13.109999656677246,6.057429313659668,,45.04999923706055,34.54217529296875,14.880000114440918,17.299562454223633,24.5,25.34276580810547
