SMLL - Carteira do Dia 10/06/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;231.911.692;2,192;6,363;
Saúde/Comércio Distr.;BLAU3;BLAU;ON      NM;31.393.939;0,282;0,873;
Saúde/Comércio Distr.;PNVL3;DIMED;ON      NM;71.745.377;0,267;0,873;
Saúde/Comércio Distr.;PGMN3;PAGUE MENOS;ON      NM;157.843.200;0,324;0,873;
Saúde/SM Hosp An.Diag;AALR3;ALLIAR;ON      NM;42.288.232;0,299;4,625;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;303.373.882;1,615;4,625;
Saúde/SM Hosp An.Diag;PARD3;IHPARDINI;ON      NM;41.617.930;0,286;4,625;
Saúde/SM Hosp An.Diag;MATD3;MATER DEI;ON      NM;81.073.044;0,251;4,625;
Saúde/SM Hosp An.Diag;ODPV3;ODONTOPREV;ON      NM;245.618.209;0,837;4,625;
Saúde/SM Hosp An.Diag;ONCO3;ONCOCLINICAS;ON      NM;135.788.449;0,227;4,625;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.027.077;1,110;4,625;
Tec.Informação/Programas Servs;BMOB3;BEMOBI TECH;ON      NM;86.869.818;0,409;2,905;
Tec.Informação/Programas Servs;ENJU3;ENJOEI;ON      NM;158.821.493;0,095;2,905;
Tec.Informação/Programas Servs;IFCM3;INFRACOMM;ON      NM;264.247.364;0,365;2,905;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;418.965.264;0,983;2,905;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;548.153.725;0,309;2,905;
Tec.Informação/Programas Servs;NGRD3;NEOGRID;ON      NM;109.743.428;0,082;2,905;
Tec.Informação/Programas Servs;SQIA3;SINQIA;ON      NM;72.771.546;0,455;2,905;
Tec.Informação/Programas Servs;TRAD3;TC;ON      NM;85.201.015;0,207;2,905;
Utilidade Públ / Água Saneamento;AMBP3;AMBIPAR;ON      NM;43.853.759;0,419;2,995;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.444.559;0,838;2,995;
Utilidade Públ / Água Saneamento;ORVR3;ORIZON;ON      NM;33.519.442;0,364;2,995;
Utilidade Públ / Água Saneamento;SAPR11;SANEPAR;UNT     N2;201.076.373;1,374;2,995;
Utilidade Públ / Energ Elétrica;AESB3;AES BRASIL;ON      NM;262.255.471;0,976;6,000;
Utilidade Públ / Energ Elétrica;ALUP11;ALUPAR;UNT     N2;140.050.337;1,310;6,000;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;230.931.405;1,712;6,000;
Utilidade Públ / Energ Elétrica;LIGT3;LIGHT S/A;ON      NM;372.555.324;1,045;6,000;
Utilidade Públ / Energ Elétrica;MEGA3;OMEGAENERGIA;ON      NM;276.811.029;0,957;6,000;
Quantidade Teórica Total;;;;31.470.398.243;100,000;100,000
Redutor;;;;131.887.420,54713080
