Date,ALSO3.SA,EZTC3.SA,CYRE3.SA,LAVV3.SA,EVEN3.SA,CURY3.SA,BRPR3.SA,MTRE3.SA,JHSF3.SA,TEND3.SA,TCSA3.SA,BRML3.SA,MULT3.SA,PLPL3.SA,VIVR3.SA,MRVE3.SA,HBOR3.SA,DIRR3.SA,IGTI11.SA,LOGG3.SA,TRIS3.SA,SYNE3.SA,GFSA3.SA
2020-10-20,25.52376365661621,38.39170837402344,24.3305606842041,6.795890808105469,11.020407676696777,9.985763549804688,9.292974472045898,14.125509262084961,7.0840229988098145,30.941370010375977,10.25,9.460000038146973,20.242197036743164,9.36212158203125,1.3932909965515137,18.15115737915039,11.206320762634277,12.941473960876465,,30.40119743347168,11.70116901397705,13.960000038146973,4.480000019073486
2020-10-21,26.396371841430664,39.85332107543945,24.539915084838867,6.705158233642578,11.20423412322998,10.004499435424805,9.390795707702637,14.229580879211426,7.102257251739502,30.457448959350586,10.15999984741211,9.710000038146973,20.997217178344727,9.284347534179688,1.3037220239639282,17.853126525878906,11.305755615234375,13.284042358398438,,31.398902893066406,11.779241561889648,14.220000267028809,4.480000019073486
2020-10-22,25.81132698059082,39.25893020629883,24.148515701293945,6.750524997711182,10.781432151794434,9.929559707641602,9.34188461303711,14.087664604187012,7.020203113555908,29.93402099609375,10.0,9.479999542236328,20.634042739868164,9.527393341064453,1.2937699556350708,17.5262508392334,10.828468322753906,13.265010833740234,,31.437274932861328,11.505986213684082,14.170000076293945,4.389999866485596
2020-10-23,25.56342887878418,38.440425872802734,23.79352378845215,6.677938461303711,11.029598236083984,9.554858207702637,9.390795707702637,14.049819946289062,6.9381489753723145,29.696998596191406,9.970000267028809,9.430000305175781,20.27086639404297,9.371843338012695,1.3037220239639282,17.574321746826172,10.629597663879395,12.85583209991455,,31.964908599853516,11.271768569946289,14.25,4.420000076293945
2020-10-26,24.43300437927246,37.719364166259766,23.138154983520508,6.677938461303711,10.496500968933105,9.554858207702637,9.22450065612793,13.661911010742188,6.691985607147217,29.104440689086914,9.619999885559082,9.09000015258789,19.401161193847656,9.38156509399414,1.2639139890670776,17.257062911987305,10.39095401763916,12.627453804016113,,32.31985855102539,11.262008666992188,13.5600004196167,4.329999923706055
2020-10-27,24.13552474975586,38.23580551147461,22.47368621826172,6.786818027496338,10.294291496276855,9.676636695861816,9.263628959655762,13.557838439941406,6.5552287101745605,28.581016540527344,9.289999961853027,8.8100004196167,19.20046043395996,9.391286849975586,1.2440099716186523,17.112852096557617,10.0827054977417,12.446653366088867,,31.705886840820312,11.03754997253418,13.40999984741211,4.329999923706055
2020-10-28,22.687788009643555,36.27724075317383,21.14474105834961,6.487400054931641,9.604942321777344,9.208260536193848,8.706048965454102,12.498188972473145,6.12672233581543,27.810691833496094,8.600000381469727,8.239999771118164,18.177837371826172,9.332956314086914,1.154440999031067,16.641767501831055,9.416491508483887,11.485557556152344,,30.410791397094727,10.256821632385254,12.949999809265137,3.859999895095825
2020-10-29,23.1835880279541,35.458736419677734,21.627166748046875,6.532765865325928,9.825533866882324,9.742208480834961,8.696268081665039,12.91447925567627,6.144957065582275,27.860071182250977,8.720000267028809,8.369999885559082,18.254295349121094,9.041301727294922,1.154440999031067,16.87250328063965,9.525869369506836,11.476042747497559,,31.418087005615234,10.656944274902344,13.180000305175781,3.9600000381469727
2020-10-30,22.81669807434082,34.201751708984375,20.744239807128906,6.650718688964844,9.476263999938965,10.107542037963867,8.481061935424805,12.299504280090332,5.862325191497803,26.526817321777344,7.909999847412109,8.15999984741211,18.130048751831055,8.457991600036621,1.1345369815826416,16.199525833129883,8.899429321289062,10.724295616149902,,30.07502555847168,10.276338577270508,13.09000015258789,3.809999942779541
2020-11-03,22.19198989868164,33.89968490600586,20.789751052856445,6.360373497009277,9.283245086669922,10.023234367370605,8.363677024841309,11.826446533203125,5.780271053314209,27.563793182373047,7.789999961853027,7.920000076293945,17.824220657348633,8.020508766174316,1.154440999031067,16.31489372253418,8.710503578186035,10.676716804504395,,32.3294563293457,10.188507080078125,12.859999656677246,3.809999942779541
2020-11-04,23.262916564941406,35.90696334838867,22.30074119567871,6.523692607879639,10.02774429321289,10.500977516174316,8.794087409973145,12.602261543273926,6.245244979858398,29.390844345092773,8.489999771118164,8.300000190734863,18.53145408630371,7.981621742248535,1.1942490339279175,17.22821807861328,9.605417251586914,10.943158149719238,,35.159481048583984,11.03754997253418,13.050000190734863,3.950000047683716
2020-11-05,24.214853286743164,36.959327697753906,23.584169387817383,6.922917366027832,10.101274490356445,10.557182312011719,8.891908645629883,12.782024383544922,6.582579612731934,29.726627349853516,8.600000381469727,8.779999732971191,19.793006896972656,7.689966678619385,1.1942490339279175,17.54547882080078,9.505983352661133,11.409431457519531,,36.061248779296875,11.330322265625,13.479999542236328,4.019999980926514
2020-11-06,24.869308471679688,37.21267318725586,23.9300594329834,7.049942970275879,10.413780212402344,10.622754096984863,8.99951171875,13.245620727539062,6.8560943603515625,30.408069610595703,9.0,9.050000190734863,20.54802894592285,8.623262405395508,1.1942490339279175,17.73775863647461,10.142366409301758,11.713937759399414,,35.44728088378906,11.476709365844727,14.140000343322754,4.099999904632568
