"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.05.2021","12.104,33","12.109,29","12.152,54","11.940,39","-","-0,04%"
"26.05.2021","12.109,22","11.986,69","12.170,94","11.986,69","-","1,02%"
"25.05.2021","11.986,58","12.161,80","12.185,87","11.945,66","-","-1,44%"
"24.05.2021","12.161,71","11.961,25","12.180,64","11.959,58","-","1,68%"
"21.05.2021","11.961,07","11.948,20","11.976,66","11.797,53","-","0,11%"
"20.05.2021","11.948,15","11.835,92","11.992,55","11.834,07","-","0,95%"
"19.05.2021","11.835,54","11.776,44","11.837,91","11.599,27","-","0,50%"
"18.05.2021","11.776,55","11.770,95","11.851,46","11.715,49","-","0,05%"
"17.05.2021","11.770,95","11.762,37","11.782,36","11.643,30","-","0,07%"
"14.05.2021","11.762,37","11.598,91","11.809,73","11.598,91","-","1,41%"
"13.05.2021","11.598,74","11.392,06","11.665,36","11.389,39","-","1,81%"
"12.05.2021","11.392,06","11.649,32","11.649,68","11.341,11","-","-2,21%"
"11.05.2021","11.649,35","11.654,95","11.669,80","11.481,14","-","-0,05%"
"10.05.2021","11.654,94","11.593,63","11.681,11","11.517,60","-","0,53%"
"07.05.2021","11.593,35","11.388,36","11.596,02","11.388,36","-","1,80%"
"06.05.2021","11.388,42","11.466,04","11.476,95","11.316,04","-","-0,59%"
"05.05.2021","11.456,54","11.265,57","11.473,65","11.213,33","-","1,74%"
"04.05.2021","11.260,53","11.608,89","11.677,55","11.251,13","-","-3,00%"
"03.05.2021","11.609,33","11.461,88","11.697,17","11.461,68","-","1,29%"
"30.04.2021","11.461,30","11.491,41","11.548,09","11.402,16","-","-0,25%"
"29.04.2021","11.490,54","11.708,82","11.771,82","11.473,61","-","-1,86%"
"28.04.2021","11.708,67","11.370,90","11.737,81","11.370,70","-","2,98%"
"27.04.2021","11.369,52","11.404,23","11.474,28","11.346,57","-","-0,29%"
"26.04.2021","11.403,08","11.419,06","11.547,15","11.316,37","-","-0,13%"
"23.04.2021","11.418,47","11.251,09","11.493,96","11.251,09","-","1,49%"
"22.04.2021","11.251,21","11.296,10","11.399,34","11.229,02","-","-0,40%"
"20.04.2021","11.296,10","11.361,21","11.414,73","11.268,42","-","-0,57%"
"19.04.2021","11.361,20","11.487,52","11.508,38","11.338,98","-","-1,09%"
"16.04.2021","11.486,71","11.347,84","11.531,32","11.335,22","-","1,22%"
"15.04.2021","11.347,84","11.386,21","11.479,73","11.250,24","-","-0,34%"
"14.04.2021","11.386,21","11.321,86","11.521,79","11.276,16","-","0,58%"
"13.04.2021","11.320,97","11.387,59","11.387,59","11.221,27","-","-0,59%"
"12.04.2021","11.387,66","11.168,29","11.392,15","11.168,29","-","1,97%"
"09.04.2021","11.168,05","11.209,85","11.300,61","11.134,66","-","-0,37%"
"08.04.2021","11.209,85","11.219,57","11.295,55","11.166,98","-","-0,08%"
"07.04.2021","11.218,99","11.239,38","11.330,66","11.161,29","-","-0,18%"
"06.04.2021","11.239,49","11.242,73","11.333,59","11.193,71","-","-0,03%"
"05.04.2021","11.242,33","11.121,11","11.289,24","11.120,01","-","1,12%"
"01.04.2021","11.118,21","11.371,77","11.425,58","11.101,62","-","-2,23%"
"31.03.2021","11.371,36","11.452,50","11.474,84","11.254,47","-","-0,71%"
"30.03.2021","11.452,48","11.262,84","11.455,42","11.221,93","-","1,68%"
"29.03.2021","11.263,02","11.288,93","11.314,53","11.142,90","-","-0,23%"
"26.03.2021","11.288,43","11.213,41","11.375,76","11.163,18","-","0,68%"
"25.03.2021","11.212,30","11.063,76","11.230,44","10.935,87","-","1,34%"
"24.03.2021","11.063,98","11.259,75","11.333,88","11.063,98","-","-1,74%"
"23.03.2021","11.259,70","11.382,17","11.493,54","11.240,93","-","-1,08%"
"22.03.2021","11.382,39","11.404,90","11.411,29","11.216,87","-","-0,20%"
"19.03.2021","11.405,20","11.225,05","11.434,34","11.186,05","-","1,60%"
"18.03.2021","11.225,19","11.172,22","11.457,08","11.172,22","-","0,47%"
"17.03.2021","11.172,21","10.850,27","11.190,71","10.779,16","-","2,96%"
"16.03.2021","10.850,75","11.033,95","11.048,22","10.756,54","-","-1,66%"
"15.03.2021","11.033,95","10.975,35","11.098,08","10.904,29","-","0,30%"
"12.03.2021","11.001,17","11.104,37","11.104,86","10.921,00","-","-0,93%"
"11.03.2021","11.104,14","10.967,11","11.133,36","10.862,53","-","1,25%"
"10.03.2021","10.966,62","10.738,53","11.019,29","10.659,17","-","2,12%"
"09.03.2021","10.738,53","10.688,79","10.929,81","10.583,67","-","0,47%"
"08.03.2021","10.688,72","11.217,28","11.217,28","10.646,06","-","-4,79%"
"05.03.2021","11.226,76","10.978,69","11.269,87","10.974,76","-","2,26%"
"04.03.2021","10.978,76","10.868,17","11.224,89","10.863,61","-","1,02%"
"03.03.2021","10.868,04","10.809,90","10.952,01","10.383,56","-","0,54%"
"02.03.2021","10.809,90","10.549,58","10.938,86","10.231,14","-","2,47%"
"01.03.2021","10.549,70","10.691,08","10.870,05","10.549,70","-","-1,32%"
"26.02.2021","10.690,92","10.864,25","11.059,33","10.687,06","-","-1,59%"
"25.02.2021","10.863,79","11.151,13","11.278,49","10.821,77","-","-2,57%"
"24.02.2021","11.150,45","11.195,54","11.302,31","11.045,96","-","-0,40%"
"23.02.2021","11.195,25","10.824,19","11.252,56","10.824,19","-","3,44%"
"22.02.2021","10.823,09","11.437,87","11.437,87","10.745,08","-","-5,38%"
"19.02.2021","11.438,22","11.475,23","11.579,09","11.415,11","-","-0,32%"
"18.02.2021","11.475,22","11.623,39","11.676,56","11.443,46","-","-1,22%"
"17.02.2021","11.616,53","11.644,38","11.695,42","11.523,47","-","-0,24%"
"12.02.2021","11.644,37","11.671,19","11.722,52","11.519,13","-","-0,23%"
"11.02.2021","11.671,19","11.627,74","11.787,81","11.587,06","-","0,37%"
"10.02.2021","11.627,74","11.857,52","11.930,45","11.600,65","-","-1,94%"
"09.02.2021","11.858,25","11.819,96","11.944,61","11.621,19","-","0,32%"
"08.02.2021","11.820,96","11.938,24","11.965,95","11.787,93","-","-0,98%"
"05.02.2021","11.938,24","11.936,77","12.080,24","11.868,43","-","0,01%"
"04.02.2021","11.936,86","11.890,47","12.024,13","11.859,15","-","0,40%"
